,0,1,2,3,4,5,6,7,8,haiku,lang
5005,winter solstice --,the fog lifts from a tree,filled with ravens,,,,,,,"winter solstice --
the fog lifts from a tree
filled with ravens",en
5006,closing time --,an expensive fingernail,on the mall floor,,,,,,,"closing time --
an expensive fingernail
on the mall floor",en
5007,dans les phares du camion,les jambes de la femme,qui va rentrer dans l'immeuble,,,,,,,"dans les phares du camion
les jambes de la femme
qui va rentrer dans l'immeuble",fr
5008,noir à fleurs bleues,le slip de l'altiste,- Shostakovitch,,,,,,,"noir à fleurs bleues
le slip de l'altiste
- Shostakovitch",fr
5009,de fesses en fesses,montant l'escalier,station Austerlitz,,,,,,,"de fesses en fesses
montant l'escalier
station Austerlitz",fr
5010,une fesse après l'autre,elle me précède,gare Saint-Lazare,,,,,,,"une fesse après l'autre
elle me précède
gare Saint-Lazare",fr
5011,january freeze--,koi chase each other,above the television,,,,,,,"january freeze--
koi chase each other
above the television",en
5012,groundhog day...,sharing a sausage,with friends,,,,,,,"groundhog day...
sharing a sausage
with friends",en
5013,autumn seabreeze...,a film of salt forms,on his glasses,,,,,,,"autumn seabreeze...
a film of salt forms
on his glasses",en
5014,grey morning...,a whale on the beach lies,shrouded in fog,,,,,,,"grey morning...
a whale on the beach lies
shrouded in fog",en
5015,beyond blossoms,under the cherry tree...,white snow cover,,,,,,,"beyond blossoms
under the cherry tree...
white snow cover",en
5016,migrating swallows,she tells me,she'll pray for me,,,,,,,"migrating swallows
she tells me
she'll pray for me",en
5017,en retard,je prends le temps de noter,un haïku,,,,,,,"en retard
je prends le temps de noter
un haïku",fr
5018,frangé de blanc le lac,premier février,vers Metz,,,,,,,"frangé de blanc le lac
premier février
vers Metz",fr
5019,prise dans la Moselle,une bouteille,le cul en l'air,,,,,,,"prise dans la Moselle
une bouteille
le cul en l'air",fr
5020,things come and go <>,raindrops,on the pine,,,,,,,"things come and go <>
raindrops
on the pine",en
5021,my stone Buddha,sits in the dark <>,"snow, snow, snow",,,,,,,"my stone Buddha
sits in the dark <>
snow, snow, snow",en
5022,breezy afternoon,  running my hands,  across the cool sheets,,,,,,,"breezy afternoon
  running my hands
  across the cool sheets",en
5023,72 ans,elle n'a jamais vu son vagin,soleil d'hiver,,,,,,,"72 ans
elle n'a jamais vu son vagin
soleil d'hiver",fi
5024,Coquilles d'escargots,vides -,premières pousses,,,,,,,"Coquilles d'escargots
vides -
premières pousses",fr
5025,Yellow Winter roses,mist over the garden,sound of fog horn,,,,,,,"Yellow Winter roses
mist over the garden
sound of fog horn",en
5026,At midnight,the fog horn in the mist,yellow roses,,,,,,,"At midnight
the fog horn in the mist
yellow roses",en
5027,son cul rond,montant l'escalier mécanique,demi-lune,,,,,,,"son cul rond
montant l'escalier mécanique
demi-lune",fr
5028,biting cold --,frost on the nail heads,of the old fence,,,,,,,"biting cold --
frost on the nail heads
of the old fence",en
5029,What was a storm,now lies wet and white,on the ground,,,,,,,"What was a storm
now lies wet and white
on the ground",en
5030,déjeuner sur la terrasse,ses jambes décroisées,rayon de soleil,,,,,,,"déjeuner sur la terrasse
ses jambes décroisées
rayon de soleil",fr
5031,a layer of ice,forms on the red sleigh--,february rains,,,,,,,"a layer of ice
forms on the red sleigh--
february rains",en
5032,high tide--,feeling the moon's pull,in the waves,,,,,,,"high tide--
feeling the moon's pull
in the waves",en
5033,crescent moon -,she is cutting her nails,in the garden,,,,,,,"crescent moon -
she is cutting her nails
in the garden",en
5034,meditating and ,resplendent in sunlight--,she finally swats the fly,,,,,,,"meditating and 
resplendent in sunlight--
she finally swats the fly",en
5035,Cherry blossoms,patients line up at the clinic,sweet scent,,,,,,,"Cherry blossoms
patients line up at the clinic
sweet scent",en
5036,In the rainforst,moss hung trees,sound of silence,,,,,,,"In the rainforst
moss hung trees
sound of silence",en
5037,I check the calendar,to see if this is a special day --,International Women's Day,,,,,,,"I check the calendar
to see if this is a special day --
International Women's Day",en
5038,Late Winter,the yellow roses still  out,soft feel of snow,,,,,,,"Late Winter
the yellow roses still  out
soft feel of snow",en
5039,In a vase,twelve blue irises,late winter storm,,,,,,,"In a vase
twelve blue irises
late winter storm",en
5040,March sunrise,rays of red and gold through clouds,a fishing boat returns,,,,,,,"March sunrise
rays of red and gold through clouds
a fishing boat returns",en
5041,des traces de roues,dans la neige du bas côté -,mercredi des  Cendres,,,,,,,"des traces de roues
dans la neige du bas côté -
mercredi des  Cendres",fr
5042,Nuit indigo.,Le noir profond de la lune,juste entamé.,,,,,,,"Nuit indigo.
Le noir profond de la lune
juste entamé.",fr
5043,Pénombre au jardin.,"A l'aube, seules apparaissent",les fleurs du cerisier.,,,,,,,"Pénombre au jardin.
A l'aube, seules apparaissent
les fleurs du cerisier.",fr
5044,spring rain,a man standing outside,the bus shelter,,,,,,,"spring rain
a man standing outside
the bus shelter",en
5045,snowflakes,a robin's flight,from tree to tree,,,,,,,"snowflakes
a robin's flight
from tree to tree",en
5046,she tucks the sonogram photo --,back in her wallet,spring sun,,,,,,,"she tucks the sonogram photo --
back in her wallet
spring sun",en
5047,en haut des cuisses,dans l'espace sous le slip,un morceau de mer,,,,,,,"en haut des cuisses
dans l'espace sous le slip
un morceau de mer",fr
5048,extrême onction,les ventres qui gargouillent,le merle dehors,,,,,,,"extrême onction
les ventres qui gargouillent
le merle dehors",fr
5049,Contre-jour -,au loin un grand chien,en liberté,,,,,,,"Contre-jour -
au loin un grand chien
en liberté",fr
5050,moon hare-,bloody gloves lay,on the ice,,,,,,,"moon hare-
bloody gloves lay
on the ice",en
5051,Empty eyes,gaze at a poppy field...,journey's end.,,,,,,,"Empty eyes
gaze at a poppy field...
journey's end.",en
5052,24 hour store -,jacaranda flowers fall ,day & night,,,,,,,"24 hour store -
jacaranda flowers fall 
day & night",en
5053,morning sun -,the long shadows,of little stones,,,,,,,"morning sun -
the long shadows
of little stones",en
5054,the barn doors open--,dry leaves sweep,into the muddy yard,,,,,,,"the barn doors open--
dry leaves sweep
into the muddy yard",en
5055,first spring snow,I release my soul in,my first yoga class,,,,,,,"first spring snow
I release my soul in
my first yoga class",en
5056,après dîner,sur la théière le monde,arrondi,,,,,,,"après dîner
sur la théière le monde
arrondi",fr
5057,marsh wren's cry,the sun ripples onto the mud,,,,,,,,"marsh wren's cry
the sun ripples onto the mud",en
5058,Fin de la manif.,Dans les wc du bistrot,on défile encore.,,,,,,,"Fin de la manif.
Dans les wc du bistrot
on défile encore.",fr
5059,porn shop--,each cock,stares at her,,,,,,,"porn shop--
each cock
stares at her",en
5060,il vento porta,profumo di mimosa,tra le antenne,,,,,,,"il vento porta
profumo di mimosa
tra le antenne",it
5061,da un anno all'altro,invecchia con il tronco,il cuore inciso,,,,,,,"da un anno all'altro
invecchia con il tronco
il cuore inciso",it
5062,Heavy March rain,the Daffodils hang their heads,my heavy thoughts,,,,,,,"Heavy March rain
the Daffodils hang their heads
my heavy thoughts",en
5063,Clear Spring night,again i am thinking of you,waiting for stars to fall,,,,,,,"Clear Spring night
again i am thinking of you
waiting for stars to fall",en
5064,Moon over cedars,in the rainforest,scent of you,,,,,,,"Moon over cedars
in the rainforest
scent of you",en
5065,Five years of haiku,in a  large paper box,"on top, the cat",,,,,,,"Five years of haiku
in a  large paper box
on top, the cat",en
5066,The morning birds,such a clear sweet sound --,making my bed,,,,,,,"The morning birds
such a clear sweet sound --
making my bed",en
5067,A Rainy cool day,promise of Kona coffee,from Honolulu,,,,,,,"A Rainy cool day
promise of Kona coffee
from Honolulu",en
5068,Belated and elated,your gift of a blue candle,for my birthday,,,,,,,"Belated and elated
your gift of a blue candle
for my birthday",en
5069,In the early morning,down on the white beach --,a turtle without eyes,,,,,,,"In the early morning
down on the white beach --
a turtle without eyes",en
5070,débat télévisé -,ses seins affalés,dans le corsage,,,,,,,"débat télévisé -
ses seins affalés
dans le corsage",fr
5071,spring,full moon,new roses,,,,,,,"spring
full moon
new roses",en
5072,instant message--,moon reveals more,of herself each night,,,,,,,"instant message--
moon reveals more
of herself each night",en
5073,the stone bullfrog,under the bird feeder,just sits,,,,,,,"the stone bullfrog
under the bird feeder
just sits",en
5074,my pregnant daughter,watches,the stone bullfrog,,,,,,,"my pregnant daughter
watches
the stone bullfrog",en
5075,high tide,yesterday's footprints,gone,,,,,,,"high tide
yesterday's footprints
gone",en
5076,customs' declaration -,only the memory,of eucalyptus,,,,,,,"customs' declaration -
only the memory
of eucalyptus",en
5077,customs' declaration -,determining the value,of new haiku,,,,,,,"customs' declaration -
determining the value
of new haiku",en
5078,spring day-,the wall clock,still winter,,,,,,,"spring day-
the wall clock
still winter",en
5079,appalachian spring-,carbide carbuncles,in the coal oil light,,,,,,,"appalachian spring-
carbide carbuncles
in the coal oil light",en
5080,nécropole antique,les tombes exhumées fleuries,de pétales,,,,,,,"nécropole antique
les tombes exhumées fleuries
de pétales",fr
5081,subway window -,she smiles at,my reflection,,,,,,,"subway window -
she smiles at
my reflection",en
5082,alone again -,one plane flies to south,another to north,,,,,,,"alone again -
one plane flies to south
another to north",en
5083,looking at her,childhood photos,my girlfriend older than me,,,,,,,"looking at her
childhood photos
my girlfriend older than me",en
5084,first light,broken blue shell,under the maple,,,,,,,"first light
broken blue shell
under the maple",en
5085,vecchio giornale;,in una sala d'aspetto,solo anziani,,,,,,,"vecchio giornale;
in una sala d'aspetto
solo anziani",it
5086,tea party over,lipstick ,smiles remain,,,,,,,"tea party over
lipstick 
smiles remain",en
5087,Page cinquante-cinq -,quelles vacances rappelle,cette fleur séchée?,,,,,,,"Page cinquante-cinq -
quelles vacances rappelle
cette fleur séchée?",fr
5088,jour de Pâques,ils surveillent leurs oeufs,les deux pigeons,,,,,,,"jour de Pâques
ils surveillent leurs oeufs
les deux pigeons",fr
5089,flute song --,the faint scent,of the easter lily,,,,,,,"flute song --
the faint scent
of the easter lily",en
5090,evening thunder--,robin calls echo,across the park,,,,,,,"evening thunder--
robin calls echo
across the park",en
5091,Late night jazz,the singer's voice sounds dark,in the smoky cafe,,,,,,,"Late night jazz
the singer's voice sounds dark
in the smoky cafe",en
5092,la voix du chanteur semble noire,dans le café enfumé,,,,,,,,"la voix du chanteur semble noire
dans le café enfumé",fr
5093,printemps,la maison du vieux monsieur,à vendre,,,,,,,"printemps
la maison du vieux monsieur
à vendre",fr
5094,midnight.,the stallion's single kick,against the wall,,,,,,,"midnight.
the stallion's single kick
against the wall",en
5095,quiet stable...,the sudden force,of horse piss,,,,,,,"quiet stable...
the sudden force
of horse piss",en
5096,drought...,the first raindrops,bounce,,,,,,,"drought...
the first raindrops
bounce",en
5097,la messe est finie -,une odeur d'encens parfume,les poulets du marché,,,,,,,"la messe est finie -
une odeur d'encens parfume
les poulets du marché",fr
5098,dust--,distant thunder,moves on,,,,,,,"dust--
distant thunder
moves on",en
5099,la bulle éclate,faisant danser la lune -,vieille mare.,,,,,,,"la bulle éclate
faisant danser la lune -
vieille mare.",fr
5100,cloudy day -,the rainbow flag waves,on a balcony,,,,,,,"cloudy day -
the rainbow flag waves
on a balcony",en
5101,bus stop -,a woman's perfume,in the air,,,,,,,"bus stop -
a woman's perfume
in the air",en
5102,au pied de la banque -,des pissenlits,en fleurs,,,,,,,"au pied de la banque -
des pissenlits
en fleurs",fr
5103,entre 2 sardines,elle parle,de son pelerinage,,,,,,,"entre 2 sardines
elle parle
de son pelerinage",fr
5104,after the argument,the storm clouds also,break up,,,,,,,"after the argument
the storm clouds also
break up",en
5105,spring morning,those young men have noticed ,what she's not wearing,,,,,,,"spring morning
those young men have noticed 
what she's not wearing",en
5106,old western --,black hats white hats ,in shades of gray,,,,,,,"old western --
black hats white hats 
in shades of gray",en
5107,clouée au lit -,entre les pages de son livre,un papillon d'or,,,,,,,"clouée au lit -
entre les pages de son livre
un papillon d'or",fr
5108,Bruxelles-Munich -,course de mouches,sur l'écran du PC,,,,,,,"Bruxelles-Munich -
course de mouches
sur l'écran du PC",fr
5109,cinco de mayo--,I walk downhill to watch,the moon rise again,,,,,,,"cinco de mayo--
I walk downhill to watch
the moon rise again",en
5110,spring storm--,overripe bananas,in the kitchen,,,,,,,"spring storm--
overripe bananas
in the kitchen",en
5111,spring morning,flies return,to a crab carcass,,,,,,,"spring morning
flies return
to a crab carcass",en
5112,ruido de tráfico,él afina,su guitarra,,,,,,,"ruido de tráfico
él afina
su guitarra",es
