0,1,2,source,0_syllables,1_syllables,2_syllables
half-drowned in sleepy peace it lay,as satiate with the boundless play,of sunshine in its green array,img2poems,7,9,8
i looked my thought would make its way,fair is your child of face and limb,the round blue eyes full sweetly shine,img2poems,8,8,8
a twelvemonths' child was at her side,'whose infant may that be,' i cried,img2poems,8,6,2
she rose amazed but cursed me too,she could not hold such luck for true,but gave him soon with small ado,img2poems,8,8,8
master good e'en to ye,a woodman said,who the low hedge was trimming with his shears,img2poems,7,4,10
in sooth a lyre,and as the soft air played,those branches stirred but did not disunite,img2poems,4,6,10
light it old sun wet it thou common dew,that 'neath men's feet its image still may be,while yet it waves above them living lyre like thee,img2poems,10,10,12
only a passing mist the heaven o'ershrouds,it breaks it parts it drifts like scattered spars,what lies behind it but the nightly stars,img2poems,12,10,10
gone,said the poet and about to be,forgotten: o how sad a fate is hers,img2poems,1,9,10
ah,turret clock  i would thy hand,were hid behind yon towering maple-trees,img2poems,1,"6,7","9,10"
and had he friends,one friend perhaps said he,but for the rest i pray you let it be,img2poems,4,6,10
i will not speak i will not speak to thee,my star,and soon to be my lost lost star,img2poems,10,2,8
but shortly as there comes to most of us,there came to him the need to quit his home,to tell you why were simply hazardous,img2poems,"10,11",10,10
peace peace,he cried i lost thee but in truth,there are worse losses than the loss of youth,img2poems,2,8,10
adieu,the poet said my vanished star,thy duty and thy happiness were one,img2poems,2,8,10
although he was her friend: but still that day,where elm and hornbeam spread a towering dome,she crossed the dells to her ancestral home,img2poems,10,"10,11",10
love cannot cool the burning austral sand,nor show the secret waters that lie hid,in arid valleys of that desert land,img2poems,10,10,10
silent they rest in solemn salvatory,sealed from the moth and the owl and the flitter-mouse,each with his name on his brow,img2poems,11,11,7
'all the kings of the nations lie in glory,every one in his own house,then why not thou,img2poems,11,"8,7",4
that i bring thee guard it long,hide the light from buried eyes,hide it lest the dead arise,img2poems,7,7,7
no more need,o mad mistake,with repentance in its wake,img2poems,3,4,7
what change has made the pastures sweet,and reached the daisies at my feet,and cloud that wears a golden hem,img2poems,8,8,8
this lovely world the hills the sward,they all look fresh as if our lord,but yesterday had finished them,img2poems,8,"8,9",8
and here's the field with light aglow,how fresh its boundary lime-trees show,and how its wet leaves trembling shine,img2poems,8,"8,7","8,9"
between their trunks come through to me,the morning sparkles of the sea,below the level browsing line,img2poems,8,8,8
i see the pool more clear by half,than pools where other waters laugh,up at the breasts of coot and rail,img2poems,8,8,8
there as she passed it on her way,i saw reflected yesterday,a maiden with a milking-pail,img2poems,8,8,7
but high she held her comely head,i cannot heed it now she said,for carrying of the milking-pail,img2poems,8,8,8
from the clear pool her face had fled,it rested on my heart instead,reflected when the maid was gone,img2poems,8,8,8
with happy youth and work content,so sweet and stately on she went,right careless of the untold tale,img2poems,8,8,8
each step she took i loved her more,and followed to her dairy door,the maiden with the milking-pail,img2poems,8,8,7
fair shine the blue that o'er her spreads,green be the pastures where she treads,the maiden with the milking-pail,img2poems,9,8,7
she had not feared as i divine,because she had not hoped,alas,img2poems,8,6,2
the sorrow of it,for that sign,came but to pass,img2poems,5,3,4
red rocks that under waters show,blue reaches and a sailing skiff,were spread below,img2poems,8,8,4
ah,why to that which needs it not,methought should costly things be given,img2poems,1,7,9
sure home is best,' the son replied,'i have no home,img2poems,4,4,4
'the perfect face and shed on it,a charm half feeling half surprise,and brim with dreams the exquisite,img2poems,8,8,8
and o for once let me complain,i must forego life's better part,man's dearer gain,img2poems,8,8,4
'robbed robbed of life's illusions sweet,and passion fainting at her feet,to wake no more,img2poems,8,8,4
i would for all my fealty,that i could be as much to you,as you to me,img2poems,"8,7",8,4
how he had said that he would fain,that life would at a stand remain,eternally,img2poems,8,8,4
the well-contented heart be fed,ever as then and all the world,when sails were furled,img2poems,5,8,4
then closer at her side reclined,the bold brown woman from afar,comes to me blind,img2poems,8,8,4
it swept with thunderous noises loud,shaped like a curling snow-white cloud,or like a demon in a shroud,img2poems,9,7,8
then bankes came downe with ruin and rout,then beaten foam flew round about,then all the mighty floods were out,img2poems,9,8,8
thy pretty bairns in fast embrace,the lifted sun shone on thy face,downe drifted to thy dwelling-place,img2poems,9,8,7
lift,o lift thou lowering sky,an thou wilt thy gloom forego,img2poems,1,7,7
lift,o lift thou lowering sky,an thou canst thy blue regain,img2poems,1,7,7
m,no: e'en my solitude is not mine now,and if i be alone is ofttimes doubt,img2poems,1,11,10
man dwells apart though not alone,he walks among his peers unread,the best of thoughts which he hath known,img2poems,8,8,8
i wait for my story the birds cannot sing it,not one as he sits on the tree,the bells cannot ring it but long years o bring it,img2poems,12,8,12
let the star-clusters glow,let the sweet waters flow,and cross quickly to me,img2poems,4,6,6
ah my sailor make haste,for the time runs to waste,and my love lieth deep,img2poems,6,6,6
heigh ho,daisies and buttercups,fair yellow daffodils stately and tall,img2poems,2,6,10
o that an echo might wake,and waft one note of thy psalm to me,ere my heart-strings break,img2poems,7,9,4
while swam the unshed tear,her prattlers little heeding,would murmur this bird with its carol clear,img2poems,6,7,10
when the red clay was kneaden,and god made adam our father dear,sang to him thus in eden,img2poems,7,"9,10",7
ah,surely methought by these shouts upraised,some travellers are benighted,img2poems,1,9,8
let the child from its rest be taken,for the captain doth weary for babe and for bride,waken madam waken,img2poems,9,12,6
the daffodils were fair to see,they nodded lightly on the lea,persephone persephone,img2poems,8,8,6
drawn nigh she deemed it fairer still,and stooped to gather by the rill,the daffodil the daffodil,img2poems,8,8,8
o light light light,she cries farewell,the coal-black horses wait for me,img2poems,4,4,7
demeter seeks her far and wide,and gloomy-browed doth ceaseless roam,from many a morn till eventide,img2poems,8,7,9
or seated on the elysian hill,she dreams of earthly daylight still,and murmurs of the daffodil,img2poems,10,8,8
the tender corn upon the lea,droops in her goddess gloom when she,cries for her lost persephone,img2poems,8,8,7
arise and set the maiden free,why should the world such sorrow dree,by reason of persephone,img2poems,8,8,7
the gates of hades set her free,she will return full soon saith he,my wife my wife persephone,img2poems,"8,7",8,7
her lips reply without her will,as one addressed who slumbereth still,the daffodil the daffodil,img2poems,8,9,8
calm queen of hades art thou she,who stepped so lightly on the lea,persephone persephone,img2poems,"8,7",8,6
come over come home,through the salt sea foam,my sailor my sailor boy,img2poems,5,5,7
yet come to me home,through the salt sea foam,for the greek must ask elsewhere,img2poems,5,5,7
many lands they look to me,one of these might be wanting a prince as well,but that's as hereafter may be,img2poems,7,11,8
she raised her white head,and laughed and she said,that's as hereafter may be,img2poems,5,5,7
ay ay sir,quoth the fisherman,have done,img2poems,3,5,2
he cried and then i rolled the rubbish out,more loudly than the meaning warranted,to air my lungs i thought not on the words,img2poems,10,10,10
then said the fisherman who missed the point,so mike rolls out the psalm you'll hear him sir,please god you live till sunday,img2poems,10,10,7
even so,and you too fisherman for here they say,you are all church-goers,img2poems,3,10,4
ay sir and when he was a younger man,he went out in the lifeboat very oft,before the 'grace of sunderland' was wrecked,img2poems,10,10,10
we too rose up (the crimson in the sky,flushing our faces) and went sauntering on,and thought to reach our lodging by the cliff,img2poems,9,"11,12","10,11"
and rent with many a crevice where the wind,had laid up drifts of empty eggshells swept,from the bare berths of gulls and guillemots,img2poems,11,10,10
i charge you mothers,by the mother's milk,he drew and by his father god over all,img2poems,5,5,11
see here,it is the night,it is the night,img2poems,2,4,4
i think not fishermen i have not heard,such women curse,god's curse is curse enough,img2poems,10,4,6
it is enough can such an one be here,yea here,o god forgive you fishermen,img2poems,10,2,8
a little while it is a little while,a little while and i will comfort thee,i go away but i will come again,img2poems,10,10,10
god save me i have been a sinful man,and save the lives of them that still can work,for they are good to me ay good to me,img2poems,10,10,10
but she if any neighbors had come in,: if any neighbors had come in,they might have seen her crying on her knees,img2poems,10,8,10
and sobbing 'lost lost lost,' beating her breast,her breast forever pricked with cruel thorns,img2poems,6,4,"9,10"
and her tears flow down,down to her lips her lips that kiss the print,of nails and love is like to break her heart,img2poems,5,10,10
